,stage1_MC_R2,stage2_resid_R2,final_MC_R2
deeponet_hybrid,0.9489445686340332,0.12784570455551147,0.9555050730705261
deeponet_hybrid_l1,0.9552199244499207,0.17534083127975464,0.9639599323272705
deeponet_hybrid_mape,0.9446151852607727,0.1202707290649414,0.9534541964530945
deeponet_hybrid_s2don,0.9516673684120178,0.18814295530319214,0.9608449935913086
xgb_hybrid,0.8971567153930664,0.004744410514831543,0.9035953879356384
